Date,AAPL,AXP,BA,DIS,LUV,MMM,MSFT,PG,RCL
2018-05-09,46.84000015258789,100.5,344.5,99.97000122070312,51.560001373291016,203.4199981689453,96.94000244140625,72.37000274658203,105.16999816894531
2018-05-10,47.5099983215332,101.37999725341797,344.07000732421875,101.68000030517578,51.939998626708984,205.02999877929688,97.91000366210938,73.1500015258789,107.2699966430664
2018-05-11,47.147499084472656,101.41999816894531,342.4599914550781,102.06999969482422,52.459999084472656,205.16000366210938,97.69999694824219,73.37000274658203,107.05999755859375
2018-05-14,47.037498474121094,101.29000091552734,344.5899963378906,102.44000244140625,52.20000076293945,205.75999450683594,98.02999877929688,73.27999877929688,107.12999725341797
2018-05-15,46.61000061035156,100.73999786376953,342.1199951171875,102.91999816894531,51.70000076293945,202.41000366210938,97.31999969482422,72.94999694824219,106.62000274658203
2018-05-16,47.04499816894531,100.58999633789062,340.9700012207031,105.04000091552734,53.0099983215332,200.2100067138672,97.1500015258789,73.52999877929688,107.98999786376953
2018-05-17,46.747501373291016,101.22000122070312,344.1400146484375,104.33999633789062,52.470001220703125,200.36000061035156,96.18000030517578,73.95999908447266,107.3499984741211
2018-05-18,46.57749938964844,100.98999786376953,351.2300109863281,103.93000030517578,52.189998626708984,198.9600067138672,96.36000061035156,73.44999694824219,106.95999908447266
2018-05-21,46.907501220703125,102.04000091552734,363.9200134277344,104.05999755859375,52.220001220703125,201.75999450683594,97.5999984741211,74.05999755859375,107.22000122070312
2018-05-22,46.790000915527344,102.69999694824219,355.0199890136719,104.06999969482422,50.849998474121094,198.97000122070312,97.5,74.02999877929688,107.51000213623047
2018-05-23,47.09000015258789,101.93000030517578,359.2099914550781,102.88999938964844,50.31999969482422,198.6699981689453,98.66000366210938,74.18000030517578,106.33000183105469
2018-05-24,47.037498474121094,102.01000213623047,359.0,102.11000061035156,51.209999084472656,199.41000366210938,98.30999755859375,73.7699966430664,106.69999694824219
2018-05-25,47.14500045776367,101.0999984741211,360.0899963378906,102.19999694824219,52.86000061035156,199.02999877929688,98.36000061035156,74.30999755859375,109.80000305175781
2018-05-29,46.974998474121094,97.72000122070312,352.4800109863281,99.69000244140625,51.4900016784668,195.74000549316406,98.01000213623047,74.05000305175781,105.77999877929688
2018-05-30,46.875,98.98999786376953,358.19000244140625,99.9800033569336,51.33000183105469,198.67999267578125,98.94999694824219,74.88999938964844,106.05000305175781
2018-05-31,46.717498779296875,98.30000305175781,352.1600036621094,99.47000122070312,51.08000183105469,197.22999572753906,98.83999633789062,73.16999816894531,104.9800033569336
2018-06-01,47.560001373291016,98.25,356.7200012207031,99.36000061035156,50.959999084472656,199.58999633789062,100.79000091552734,73.44999694824219,106.33000183105469
2018-06-04,47.95750045776367,99.44999694824219,360.7300109863281,100.23999786376953,51.650001525878906,201.05999755859375,101.66999816894531,74.18000030517578,106.51000213623047
2018-06-05,48.32749938964844,99.30999755859375,360.1000061035156,99.94000244140625,50.900001525878906,201.1999969482422,102.19000244140625,73.97000122070312,102.1500015258789
2018-06-06,48.494998931884766,100.97000122070312,371.55999755859375,101.91000366210938,50.75,203.86000061035156,102.48999786376953,74.3499984741211,104.37999725341797
2018-06-07,48.3650016784668,101.4800033569336,368.5299987792969,102.47000122070312,50.63999938964844,205.07000732421875,100.87999725341797,75.76000213623047,104.4000015258789
2018-06-08,47.92499923706055,101.0,369.5,103.9800033569336,50.47999954223633,206.58999633789062,101.62999725341797,77.18000030517578,103.4800033569336
2018-06-11,47.807498931884766,101.19999694824219,370.94000244140625,104.3499984741211,50.97999954223633,205.1199951171875,101.05000305175781,77.52999877929688,103.68000030517578
2018-06-12,48.06999969482422,100.7300033569336,370.6199951171875,104.33000183105469,50.970001220703125,204.9199981689453,101.30999755859375,77.23999786376953,105.69999694824219
2018-06-13,47.67499923706055,100.0199966430664,363.8500061035156,106.30999755859375,51.349998474121094,204.88999938964844,100.8499984741211,76.47000122070312,107.9800033569336
2018-06-14,47.70000076293945,99.76000213623047,362.4200134277344,108.75,51.939998626708984,203.6300048828125,101.41999816894531,75.98999786376953,113.5
